donor_id,name,age,gender,blood_type,location,latitude,longitude,last_donation_date,availability_status,health_conditions,contact_number,donation_frequency,responsiveness_score,base_availability_score
DON_000001,Donor_1,40,Female,A+,"Mumbai, India",19.08142560043586,72.87198619834247,2025-07-21,Unavailable,None,+91-9746317213,3,0.5692022118040146,0.0
DON_000002,Donor_2,23,Male,B+,"Delhi, India",28.69865617275475,77.1036092258971,2025-03-03,Available,None,+91-7478163327,1,0.7582342954533831,1.0
DON_000003,Donor_3,21,Male,B-,"Kolkata, India",22.570982446136025,88.37212544912103,2024-10-27,Available,None,+91-7107420369,0,0.7678771358890036,1.0
DON_000004,Donor_4,20,Male,B+,"Bangalore, India",12.958133219026386,77.58579408733952,2025-07-15,Unavailable,Tuberculosis,+91-8181241943,5,0.661794800852049,0.0
DON_000005,Donor_5,21,Female,O+,"Kolkata, India",22.581912801191162,88.36182834109896,2024-11-27,Available,None,+91-8051802512,0,0.3530393373001101,1.0
DON_000006,Donor_6,27,Male,O-,"Bangalore, India",12.975216360250476,77.58814880245394,2025-06-09,Available,None,+91-7958682846,1,0.4183952466696299,1.0
DON_000007,Donor_7,39,Female,B+,"Bangalore, India",12.982024916173394,77.59240328112162,2025-05-12,Available,None,+91-7599310825,0,0.9146569505149725,1.0
DON_000008,Donor_8,39,Male,A+,"Mumbai, India",19.076970775493482,72.88738644990534,2025-08-06,Unavailable,None,+91-7440213415,2,0.5967851585411745,0.0
DON_000009,Donor_9,26,Male,B+,"Hyderabad, India",17.38333939091649,78.5055618590121,2024-08-31,Available,None,+91-9906402157,2,0.35503309616019085,1.0
DON_000010,Donor_10,37,Male,A-,"Kolkata, India",22.577377540994338,88.36130971355261,2025-06-29,Unavailable,None,+91-9342331444,1,0.6067290378787029,0.0
DON_000011,Donor_11,28,Male,A-,"Mumbai, India",19.0979045562581,72.87276567517797,2025-02-01,Unavailable,Diabetes,+91-7373399426,2,0.31671166596679773,0.3
DON_000012,Donor_12,46,Male,O+,"Bangalore, India",12.963767467076638,77.59137938483795,2025-01-29,Available,None,+91-9536146025,1,0.2128407871277892,1.0
DON_000013,Donor_13,44,Female,B+,"Bangalore, India",12.983770707969802,77.59753072473299,2025-07-02,Unavailable,None,+91-8812140441,4,0.1692107241676424,0.0
DON_000014,Donor_14,26,Male,O+,"Bangalore, India",12.979820601599945,77.61356792982654,2025-01-21,Available,None,+91-7136505587,2,0.8175020223274252,1.0
DON_000015,Donor_15,32,Male,O+,"Kolkata, India",22.582371800008133,88.3531910750194,2025-05-23,Unavailable,Anemia,+91-7127978094,4,0.5518996638364989,0.3
DON_000016,Donor_16,40,Female,B-,"Hyderabad, India",17.392101092403642,78.48762478871551,2025-05-29,Available,None,+91-7402418010,5,0.7299630808644981,1.0
DON_000017,Donor_17,42,Male,A+,"Kolkata, India",22.577737859509124,88.36413931814467,2025-07-24,Unavailable,None,+91-7939042955,4,0.6793635073065886,0.0
